"id", "title", "author", "category", "grade", "publisher", "edition", "price"
"1487","ENGLISH FOR THE CATERING INDUSTRY Flapjacks 2 : udžbenik za 3. razred ugostiteljskih škola","Elizabeth Harrison-Paj","udžbenik","3.","ŠK","","106"
"1486","ENGLISH FOR THE CATERING INDUSTRY Flapjacks 2 : radna bilježnica za 3. razred ugostiteljskih škola","Elizabeth Harrison-Paj","radna bilježnica","3.","ŠK","","62"
"1492","ON HOLIDAY 1 : udžbenik engleskog jezika za hotelijersko-turističku i ekonomsku struku : 8. godina učenja","Elizabeth Harrison-Paj, Bojana Mažuran","udžbenik","3.","ŠK","","93"
"1503","YOU'RE WELCOME 2 : udžbenik engleskog jezika za ugostiteljsku struku","Mirjana Jurčić, Dunja Palčok","udžbenik","3.","ŠK","","93"
"3155","ENGLISH FOR THE HOTEL AND TOURISM INDUSTRY 01 : udžbenik engleskog jezika s CD-om za 3. razred hotelijersko-turističkih škola : 8. godina učenja","Brigita Bosnar-Valković, Marc Davies, Elizabeth Harrison-Paj","udžbenik s CD-om","3.","ŠK","","105"
"3154","ENGLISH FOR THE HOTEL AND TOURISM INDUSTRY 01 : radna bilježnica iz engleskog jezika za 3. razred hotelijersko-turističkih škola : 8. godina učenja","Brigita Bosnar-Valković, Marc Davies, Elizabeth Harrison-Paj","radna bilježnica","3.","ŠK","","57"
"3158","DISCOVER MEDICAL ENGLISH 1 : udžbenik engleskog jezika s CD-om za 3. razred medicinske škole : 8. godina učenja","Anica Gregović","udžbenik s CD-om","3.","ŠK","","105"
"3160","GRAPHIC COMMUNICATION : udžbenik engleskog jezika za 3. i 4. razred srednjih strukovnih škola, 8. i 9. godina učenja, grafičko i dizajnersko usmjerenje","Elizabeth Harrison-Paj, Koraljka Mak","udžbenik","3.-4.","ŠK","","105"
"4694","MATEMATIKA 4 : udžbenik za ekonomiste i komercijaliste","Đurđica Salamon Padjen, Boško Šego, Tihana Škrinjarić","udžbenik sa zbirkom zadataka","4.","ALKA","Novo","120"
"4740","MATEMATIKA 4 - 1. DIO : udžbenik i zbirka zadataka za 4. razred tehničkih škola","Branimir Dakić, Neven Elezović","udžbenik sa zbirkom zadataka","4.","ELEMENT","Novo","96"
